creator_email,project_name,tag,start_date,end_date,curr_capacity,goal_capacity,city,state,description
egestas.lacinia.Sed@Mauris.edu,Environment Social Media Fundraising,LGBT,2019-09-06 04:00:00,2019-09-06 09:00:00,0,16,Broken Arrow,CO,
pellentesque@egetvenenatis.org,Arts and Crafts Charity Auction,Health,2019-01-18 02:00:00,2019-01-18 14:00:00,0,9,Lansing,CO,
et.lacinia@metus.com,Women Drive,Homeless,2019-08-09 04:00:00,2019-08-09 09:00:00,0,25,Fresno,MO,
fringilla.euismod.enim@dis.com,Politics Charity Auction,Technology,2020-02-26 20:00:00,2020-02-27 04:00:00,0,2,New Orleans,LA,
urna.nec.luctus@estNunclaoreet.com,Health Charity Auction,Technology,2018-01-18 13:00:00,2018-01-19 13:00:00,0,8,Richmond,UT,
et.pede.Nunc@pharetrafeliseget.net,Seniors Drive,Disaster Relief,2019-05-10 04:00:00,2019-05-10 14:00:00,0,12,Austin,PA,
dolor@ipsum.edu,Education Social Media Fundraising,Faith-based,2019-04-06 20:00:00,2019-04-07 15:00:00,0,8,Kaneohe,OK,
non.sollicitudin@Donec.com,Faith-based Foundation,Arts and Crafts,2018-10-10 22:00:00,2018-10-11 14:00:00,0,7,Springfield,OR,
gravida.Aliquam.tincidunt@velitCraslorem.co.uk,Youth Charity,Education,2019-12-11 12:00:00,2019-12-12 07:00:00,0,13,Reading,FL,
commodo.hendrerit@arcuiaculis.net,Human Rights Guest Speaker,Education,2019-10-01 00:00:00,2019-10-01 08:00:00,0,13,Kapolei,UT,
eleifend@elitsedconsequat.org,LGBT Charity,Politics,2018-12-24 18:00:00,2018-12-25 10:00:00,0,19,Provo,OH,
massa@neque.ca,Technology Charity Auction,Youth,2018-01-07 12:00:00,2018-01-08 05:00:00,0,16,Detroit,KS,
ac.sem.ut@In.ca,Youth Guest Speaker,Education,2018-07-31 13:00:00,2018-08-01 00:00:00,0,5,Ketchikan,TX,
Suspendisse@sapien.org,Homeless Walk,LGBT,2019-10-11 19:00:00,2019-10-12 08:00:00,0,3,Kenosha,IL,
malesuada.id.erat@bibendum.org,Women Charity Auction,Women,2019-02-17 11:00:00,2019-02-17 21:00:00,0,24,Kapolei,CA,
Donec.tempus.lorem@Aenean.org,Hunger Charity Auction,Faith-based,2018-01-03 06:00:00,2018-01-04 01:00:00,0,24,Montgomery,MT,
libero.nec.ligula@urna.org,LGBT Drive,Technology,2019-02-07 02:00:00,2019-02-07 19:00:00,0,18,Olathe,UT,
dolor@odioa.co.uk,Health Charity,Disaster Relief,2020-03-30 00:00:00,2020-03-30 20:00:00,0,3,Athens,ID,
ac@Nullam.com,Youth Guest Speaker,Seniors,2018-08-13 00:00:00,2018-08-13 04:00:00,0,4,Sterling Heights,WI,
parturient.montes.nascetur@iaculisodio.edu,Animals Drive,Youth,2018-06-08 22:00:00,2018-06-09 19:00:00,0,25,Fort Wayne,MN,
commodo.ipsum@semvitae.com,Politics Walk,Hunger,2018-10-27 11:00:00,2018-10-28 11:00:00,0,8,Mesa,TN,
sed.pede@pellentesque.net,Animals Social Media Fundraising,Seniors,2018-10-11 18:00:00,2018-10-11 20:00:00,0,4,Nampa,VA,
Donec.sollicitudin@Loremipsum.net,Arts and Crafts Drive,Animals,2020-02-02 11:00:00,2020-02-03 00:00:00,0,2,Chicago,WA,
arcu.iaculis@Proin.co.uk,International Drive,Disaster Relief,2020-03-16 21:00:00,2020-03-17 03:00:00,0,23,Gillette,MO,
sed.libero@ligula.org,Technology Social Media Fundraising,Environment,2018-12-15 03:00:00,2018-12-15 23:00:00,0,7,Metairie,CA,
ultrices.a@adipiscing.co.uk,Disaster Relief Charity,Sports,2018-09-09 02:00:00,2018-09-09 14:00:00,0,15,Kansas City,GA,
dolor.Donec.fringilla@non.co.uk,Animals Social Media Fundraising,Homeless,2019-12-02 17:00:00,2019-12-02 18:00:00,0,24,Kansas City,WA,
est.Mauris@fringillaest.ca,Technology Drive,Technology,2018-01-08 08:00:00,2018-01-09 04:00:00,0,25,Burlington,KS,
dolor@musAenean.com,Women Social Media Fundraising,Hunger,2019-05-02 06:00:00,2019-05-03 01:00:00,0,25,Bellevue,MN,
vestibulum@convallis.com,Animals Walk,Animals,2020-01-09 07:00:00,2020-01-09 15:00:00,0,22,Bear,HI,
conubia.nostra.per@erosnon.co.uk,Arts and Crafts Social Media Fundraising,Youth,2018-09-12 17:00:00,2018-09-12 18:00:00,0,13,Casper,OK,
Phasellus@semegetmassa.org,Animals Guest Speaker,Hunger,2018-02-28 05:00:00,2018-02-28 09:00:00,0,10,Fort Smith,CT,
eget@ipsumCurabitur.edu,Health Social Media Fundraising,Environment,2018-11-24 21:00:00,2018-11-25 01:00:00,0,15,St. Petersburg,ID,
euismod@odio.com,Technology Drive,Politics,2019-01-09 11:00:00,2019-01-09 21:00:00,0,22,Springdale,KY,
urna.nec@ut.net,Technology Walk,Animals,2020-01-21 22:00:00,2020-01-22 01:00:00,0,12,Nampa,AK,
leo.Vivamus.nibh@egetmetusIn.edu,Human Rights Charity Auction,Hunger,2018-01-06 02:00:00,2018-01-06 22:00:00,0,2,Meridian,MD,
fermentum.risus@erosnectellus.co.uk,Faith-based Guest Speaker,Technology,2019-08-04 04:00:00,2019-08-04 07:00:00,0,8,Idaho Falls,NE,
dis.parturient.montes@eget.edu,Disaster Relief Charity Auction,Sports,2019-02-05 22:00:00,2019-02-06 04:00:00,0,19,Chandler,HI,
metus.vitae@dolor.edu,LGBT Guest Speaker,Seniors,2018-12-16 21:00:00,2018-12-17 09:00:00,0,12,St. Petersburg,VA,
vel.sapien.imperdiet@netuset.co.uk,LGBT Drive,Animals,2019-02-07 04:00:00,2019-02-07 16:00:00,0,11,Los Angeles,CT,
venenatis.a@ullamcorpereu.com,Technology Charity Auction,Education,2018-11-07 07:00:00,2018-11-07 17:00:00,0,20,Honolulu,LA,
cursus.purus@vitaeorciPhasellus.co.uk,Arts and Crafts Social Media Fundraising,LGBT,2018-01-24 18:00:00,2018-01-25 00:00:00,0,2,Milwaukee,MN,
non.luctus@nislelementumpurus.co.uk,Hunger Charity Auction,Hunger,2019-01-20 03:00:00,2019-01-20 22:00:00,0,8,Baton Rouge,KS,
non.sollicitudin@congueturpis.co.uk,International Drive,Human Rights,2018-08-03 08:00:00,2018-08-04 03:00:00,0,13,Iowa City,AZ,
odio.tristique.pharetra@lectusconvallisest.net,Politics Charity Auction,International,2019-03-27 14:00:00,2019-03-27 22:00:00,0,24,Rutland,AL,
lacinia@temporbibendumDonec.co.uk,Seniors Guest Speaker,Environment,2018-04-19 21:00:00,2018-04-20 16:00:00,0,13,Meridian,DE,
ultricies.ornare@inmagna.net,Sports Charity Auction,Seniors,2019-12-02 19:00:00,2019-12-02 20:00:00,0,20,Athens,KY,
felis.adipiscing.fringilla@lacusQuisque.edu,Education Walk,Youth,2018-01-14 10:00:00,2018-01-15 09:00:00,0,25,Des Moines,AZ,
vehicula.risus.Nulla@mauris.edu,Animals Foundation,Education,2019-05-06 17:00:00,2019-05-07 11:00:00,0,15,Norman,MD,
neque@ipsumSuspendisse.net,Technology Guest Speaker,Faith-based,2019-04-17 18:00:00,2019-04-17 21:00:00,0,20,Knoxville,OH,
in.cursus.et@natoquepenatibus.ca,Homeless Social Media Fundraising,Hunger,2020-03-13 03:00:00,2020-03-13 13:00:00,0,9,Idaho Falls,OH,
tincidunt.Donec@adipiscing.net,Youth Foundation,Education,2018-05-31 23:00:00,2018-06-01 19:00:00,0,4,Gresham,IN,
tellus.Suspendisse@consectetueradipiscing.edu,International Drive,Politics,2019-03-29 00:00:00,2019-03-29 12:00:00,0,20,West Jordan,LA,
odio.Phasellus@tempor.net,Seniors Charity,Youth,2019-01-22 09:00:00,2019-01-22 10:00:00,0,3,West Jordan,MI,
tristique@posuere.net,Seniors Walk,Politics,2018-08-06 21:00:00,2018-08-07 14:00:00,0,25,Madison,MO,
enim.nec@semper.com,Environment Charity,Hunger,2019-06-08 09:00:00,2019-06-09 00:00:00,0,23,Juneau,MD,
et.ipsum@miac.edu,Technology Walk,Human Rights,2018-10-26 07:00:00,2018-10-26 20:00:00,0,15,New Orleans,AL,
Pellentesque.habitant@laciniaSed.com,International Charity Auction,Technology,2018-07-05 14:00:00,2018-07-06 13:00:00,0,23,Milwaukee,AL,
Etiam.imperdiet@odioEtiam.net,Human Rights Foundation,Health,2018-08-09 22:00:00,2018-08-10 11:00:00,0,4,Duluth,MT,
non.quam.Pellentesque@estNunc.edu,Technology Charity Auction,Animals,2018-07-22 12:00:00,2018-07-23 01:00:00,0,23,Shreveport,FL,
turpis.egestas.Fusce@elitNullafacilisi.ca,Women Guest Speaker,Youth,2019-07-28 12:00:00,2019-07-29 05:00:00,0,7,Milwaukee,HI,
interdum.feugiat@euarcuMorbi.org,International Drive,Faith-based,2019-01-28 16:00:00,2019-01-28 17:00:00,0,13,Colorado Springs,UT,
consequat@vellectusCum.edu,Education Charity,Education,2019-06-17 15:00:00,2019-06-17 19:00:00,0,13,Flint,TN,
consectetuer@bibendum.co.uk,Faith-based Drive,Youth,2019-09-28 21:00:00,2019-09-29 01:00:00,0,12,Birmingham,VA,
ultrices.Vivamus.rhoncus@congue.edu,Disaster Relief Charity Auction,Sports,2019-08-17 01:00:00,2019-08-17 16:00:00,0,11,Baltimore,NV,
eleifend.nunc@etmagnis.com,Animals Guest Speaker,Education,2018-02-17 05:00:00,2018-02-18 03:00:00,0,5,Vancouver,NV,
luctus.lobortis.Class@a.net,Seniors Charity Auction,Hunger,2018-08-17 03:00:00,2018-08-17 12:00:00,0,25,Gresham,MD,
diam@Innec.com,Homeless Guest Speaker,Politics,2019-06-12 23:00:00,2019-06-13 21:00:00,0,25,Kailua,AL,
interdum.Nunc@lobortisnisinibh.ca,Disaster Relief Drive,Homeless,2019-03-04 10:00:00,2019-03-04 15:00:00,0,5,Topeka,MN,
tempus.risus.Donec@convalliserateget.co.uk,Arts and Crafts Charity,Women,2019-11-18 06:00:00,2019-11-18 13:00:00,0,9,Bozeman,VA,
elit.sed.consequat@nibhlaciniaorci.net,Hunger Social Media Fundraising,Education,2019-01-02 18:00:00,2019-01-02 22:00:00,0,8,Lowell,MA,
ligula.Donec.luctus@Aliquamfringilla.co.uk,Technology Charity Auction,Faith-based,2018-09-13 20:00:00,2018-09-14 12:00:00,0,2,Gresham,MS,
dapibus@quistristique.co.uk,Environment Drive,Youth,2018-03-18 05:00:00,2018-03-18 06:00:00,0,18,Phoenix,WA,
tellus.sem@egestasFusce.edu,Youth Foundation,Human Rights,2019-07-16 20:00:00,2019-07-17 04:00:00,0,5,Boise,TN,
nec.leo.Morbi@venenatisamagna.ca,LGBT Charity Auction,Hunger,2018-07-07 12:00:00,2018-07-08 08:00:00,0,19,Stamford,VT,
netus.et@anteMaecenas.net,Hunger Guest Speaker,Sports,2018-09-01 14:00:00,2018-09-02 05:00:00,0,19,Colorado Springs,ID,
auctor@netus.org,Homeless Charity,Youth,2019-08-22 08:00:00,2019-08-23 02:00:00,0,17,Lewiston,IN,
ipsum.dolor@molestieorci.org,Education Social Media Fundraising,Disaster Relief,2019-09-06 21:00:00,2019-09-07 06:00:00,0,19,Olympia,AL,
consectetuer@quislectus.com,Disaster Relief Foundation,Technology,2018-05-16 11:00:00,2018-05-16 20:00:00,0,7,Madison,WA,
neque@libero.net,Arts and Crafts Guest Speaker,Animals,2019-04-16 03:00:00,2019-04-16 11:00:00,0,10,Erie,MA,
risus.Donec.nibh@lacus.co.uk,Seniors Social Media Fundraising,Technology,2019-12-22 16:00:00,2019-12-23 08:00:00,0,24,Jonesboro,WA,
sollicitudin@tellus.org,Education Walk,International,2018-09-22 18:00:00,2018-09-22 22:00:00,0,3,Juneau,IA,
ut@etarcu.edu,Health Social Media Fundraising,Animals,2019-01-29 13:00:00,2019-01-29 14:00:00,0,2,Sterling Heights,TX,
non.ante@dictum.co.uk,Education Foundation,Arts and Crafts,2018-05-26 12:00:00,2018-05-27 03:00:00,0,7,Pittsburgh,MT,
at@turpisnecmauris.co.uk,Women Social Media Fundraising,Sports,2018-12-29 12:00:00,2018-12-30 01:00:00,0,8,Montgomery,IN,
Nulla@pedesagittisaugue.com,Technology Walk,International,2018-03-15 00:00:00,2018-03-15 07:00:00,0,15,Olathe,UT,
lacinia.vitae.sodales@aclibero.org,International Drive,Youth,2018-02-11 23:00:00,2018-02-12 05:00:00,0,22,Gulfport,OR,
cursus@Morbinon.co.uk,Hunger Charity,Hunger,2019-06-22 17:00:00,2019-06-23 05:00:00,0,16,College,HI,
risus.a@arcuNunc.org,Faith-based Walk,Arts and Crafts,2020-01-06 09:00:00,2020-01-06 12:00:00,0,25,Kearney,NE,
tempus@magnaDuisdignissim.edu,Sports Guest Speaker,Animals,2018-11-18 19:00:00,2018-11-19 19:00:00,0,19,Indianapolis,CT,
dictum@purusinmolestie.edu,Homeless Charity,Hunger,2020-04-13 13:00:00,2020-04-13 22:00:00,0,14,Milwaukee,AZ,
ut.cursus.luctus@Nullaeu.edu,Arts and Crafts Guest Speaker,Disaster Relief,2018-06-18 19:00:00,2018-06-19 17:00:00,0,23,Broken Arrow,FL,
sodales@Duis.co.uk,Youth Foundation,Human Rights,2019-06-11 12:00:00,2019-06-12 05:00:00,0,14,Ketchikan,OR,
sed.dui.Fusce@ac.org,Disaster Relief Charity Auction,Women,2019-11-15 19:00:00,2019-11-16 05:00:00,0,25,Fairbanks,CT,
turpis@lacus.co.uk,Technology Walk,Environment,2018-10-14 07:00:00,2018-10-14 16:00:00,0,15,Richmond,LA,
arcu.Vestibulum@nec.ca,Human Rights Drive,Environment,2018-12-25 19:00:00,2018-12-26 09:00:00,0,16,Houston,MD,
scelerisque.lorem.ipsum@blanditNamnulla.co.uk,Disaster Relief Social Media Fundraising,Youth,2018-02-28 03:00:00,2018-03-01 00:00:00,0,18,Frankfort,WA,
Fusce@sit.edu,Disaster Relief Drive,Hunger,2018-08-12 07:00:00,2018-08-12 10:00:00,0,8,Casper,PA,
montes@dignissimtempor.org,International Foundation,Environment,2019-05-29 12:00:00,2019-05-30 00:00:00,0,16,Des Moines,AZ,
cursus.Integer@liberoProin.com,Technology Guest Speaker,Youth,2020-02-12 11:00:00,2020-02-12 22:00:00,0,10,Shreveport,DE,
Suspendisse@inaliquet.com,Homeless Foundation,Women,2018-10-05 08:00:00,2018-10-06 04:00:00,0,5,Naperville,MS,
arcu@aenimSuspendisse.co.uk,Health Guest Speaker,Youth,2019-09-15 12:00:00,2019-09-16 03:00:00,0,17,Mesa,AK,
tellus@Aeneansed.edu,Hunger Charity,Youth,2018-03-22 15:00:00,2018-03-23 07:00:00,0,16,Honolulu,WA,
nibh.lacinia@semPellentesque.net,Women Charity,LGBT,2018-08-02 19:00:00,2018-08-03 17:00:00,0,16,Broken Arrow,AZ,
erat.semper.rutrum@vel.net,Politics Foundation,Education,2019-08-03 11:00:00,2019-08-03 14:00:00,0,20,Shreveport,HI,
ipsum.leo@liberolacusvarius.org,Health Charity,International,2019-03-30 01:00:00,2019-03-30 07:00:00,0,25,Stamford,WI,
purus.Duis.elementum@luctuset.edu,Faith-based Guest Speaker,Disaster Relief,2018-04-13 09:00:00,2018-04-14 06:00:00,0,3,Cedar Rapids,CO,
placerat.augue.Sed@nullaDonec.com,Homeless Social Media Fundraising,Education,2018-11-14 19:00:00,2018-11-15 11:00:00,0,15,Detroit,TN,
blandit@hendrerit.co.uk,Arts and Crafts Foundation,Politics,2018-10-02 08:00:00,2018-10-02 18:00:00,0,19,Little Rock,IL,
interdum.ligula.eu@sociosquadlitora.co.uk,Technology Foundation,Animals,2019-04-15 23:00:00,2019-04-16 08:00:00,0,20,Columbus,MI,
Suspendisse.eleifend@sit.edu,Technology Drive,Health,2019-05-05 16:00:00,2019-05-05 18:00:00,0,15,West Jordan,MS,
senectus@porta.ca,Disaster Relief Drive,Homeless,2018-11-07 10:00:00,2018-11-07 18:00:00,0,16,Chandler,VT,
Lorem@Loremipsum.edu,Technology Charity,Arts and Crafts,2019-11-05 00:00:00,2019-11-05 15:00:00,0,13,Olympia,WY,
Mauris.quis@blanditNamnulla.org,Faith-based Charity Auction,International,2019-01-26 13:00:00,2019-01-27 11:00:00,0,14,Rockford,HI,
eu.dui.Cum@per.org,Health Foundation,Seniors,2018-08-27 03:00:00,2018-08-27 08:00:00,0,13,Columbia,AR,
massa@magnaCrasconvallis.co.uk,Sports Guest Speaker,Seniors,2019-03-23 10:00:00,2019-03-23 20:00:00,0,17,Clarksville,CA,
tristique.pharetra.Quisque@ultriciessemmagna.ca,LGBT Drive,Disaster Relief,2018-11-17 13:00:00,2018-11-17 15:00:00,0,13,New Haven,NV,
convallis.dolor.Quisque@et.ca,Disaster Relief Charity,Sports,2019-05-01 14:00:00,2019-05-02 09:00:00,0,10,Tallahassee,IA,
ut.erat@metusfacilisislorem.com,Environment Charity,Sports,2019-05-21 07:00:00,2019-05-21 11:00:00,0,16,San Jose,KY,
risus.a.ultricies@aliquetPhasellusfermentum.co.uk,Education Charity,Faith-based,2018-05-04 23:00:00,2018-05-05 08:00:00,0,4,Boise,MT,
sed@milacinia.ca,Animals Drive,Youth,2020-01-27 10:00:00,2020-01-28 00:00:00,0,8,West Jordan,WI,
a.ultricies.adipiscing@Vestibulumaccumsanneque.ca,Environment Charity,Youth,2018-08-08 21:00:00,2018-08-09 05:00:00,0,10,Davenport,TX,
semper.Nam.tempor@egestasadui.co.uk,Women Social Media Fundraising,Education,2019-08-31 04:00:00,2019-08-31 16:00:00,0,18,Kansas City,AR,
vitae.sodales.at@accumsanconvallis.net,Technology Guest Speaker,Sports,2019-11-27 04:00:00,2019-11-27 12:00:00,0,18,Carson City,OK,
mauris.ipsum@Integermollis.org,Animals Charity,Youth,2019-09-20 06:00:00,2019-09-20 09:00:00,0,17,Paradise,KS,
dui@velesttempor.net,Hunger Guest Speaker,Animals,2018-01-25 13:00:00,2018-01-25 17:00:00,0,22,Jackson,AL,
Phasellus@habitantmorbi.com,Women Guest Speaker,Arts and Crafts,2019-02-06 01:00:00,2019-02-06 23:00:00,0,19,Milwaukee,AK,
Quisque.ornare@ascelerisquesed.co.uk,Faith-based Walk,LGBT,2018-05-22 11:00:00,2018-05-23 08:00:00,0,16,South Burlington,IL,
vitae.sodales@etpede.co.uk,Technology Social Media Fundraising,Health,2018-01-18 00:00:00,2018-01-18 14:00:00,0,7,North Las Vegas,AR,
ac.urna.Ut@infaucibus.co.uk,Women Drive,International,2019-12-18 16:00:00,2019-12-19 16:00:00,0,21,Aurora,OR,
Maecenas@Nullaeuneque.ca,Animals Charity Auction,Youth,2019-06-29 16:00:00,2019-06-30 03:00:00,0,5,Independence,WI,
Duis.ac.arcu@aliquetlobortisnisi.edu,International Drive,LGBT,2019-10-27 21:00:00,2019-10-28 11:00:00,0,3,Fort Wayne,MD,
euismod.in.dolor@urnaconvallis.org,Sports Charity,LGBT,2019-03-12 06:00:00,2019-03-13 05:00:00,0,21,Fresno,CA,
at@turpisnecmauris.co.uk,Technology Walk,LGBT,2018-06-28 21:00:00,2018-06-29 06:00:00,0,11,Indianapolis,CT,
mollis.dui.in@Aliquam.org,Health Charity Auction,Health,2019-06-26 11:00:00,2019-06-27 04:00:00,0,10,Racine,WI,
Phasellus.elit.pede@sedorcilobortis.edu,Human Rights Social Media Fundraising,Sports,2019-06-17 19:00:00,2019-06-18 18:00:00,0,13,Fayetteville,PA,
Integer.eu.lacus@Morbi.edu,Hunger Drive,Arts and Crafts,2019-05-12 15:00:00,2019-05-13 08:00:00,0,5,Jacksonville,NE,
lacinia.vitae.sodales@Aliquam.co.uk,Disaster Relief Charity,Education,2018-03-17 12:00:00,2018-03-18 06:00:00,0,5,Racine,AZ,
adipiscing@cursus.co.uk,Technology Guest Speaker,Sports,2018-08-31 00:00:00,2018-08-31 09:00:00,0,13,Chicago,IA,
pede.sagittis@metusfacilisis.edu,Disaster Relief Charity,Environment,2019-04-13 07:00:00,2019-04-14 00:00:00,0,19,New Orleans,DE,
pede@Cumsociis.org,Politics Guest Speaker,Environment,2018-10-15 17:00:00,2018-10-16 07:00:00,0,16,Bear,HI,
ultrices.posuere.cubilia@venenatisvelfaucibus.edu,Human Rights Social Media Fundraising,Hunger,2018-01-16 21:00:00,2018-01-17 07:00:00,0,14,Worcester,KY,
blandit.enim@duiSuspendisseac.ca,Disaster Relief Charity,LGBT,2018-05-15 20:00:00,2018-05-16 19:00:00,0,25,Cincinnati,AZ,
at.fringilla@diamSed.net,Human Rights Drive,Technology,2018-12-24 19:00:00,2018-12-24 20:00:00,0,13,Detroit,UT,
tincidunt@congue.ca,Arts and Crafts Walk,Technology,2018-05-04 16:00:00,2018-05-04 17:00:00,0,19,Bear,TN,
nunc.risus.varius@arcuac.org,Sports Social Media Fundraising,LGBT,2019-08-18 07:00:00,2019-08-18 17:00:00,0,7,Duluth,PA,
nibh@atsem.com,Technology Drive,Seniors,2019-01-04 10:00:00,2019-01-05 02:00:00,0,11,Laramie,WI,
Nunc.mauris@Integerid.com,Sports Charity Auction,Sports,2018-03-11 13:00:00,2018-03-12 12:00:00,0,15,Baton Rouge,TX,
vel.arcu.Curabitur@risusNuncac.net,Health Walk,Homeless,2019-08-12 17:00:00,2019-08-13 00:00:00,0,18,Pike Creek,DE,
ipsum.leo.elementum@conubianostraper.net,Technology Social Media Fundraising,Environment,2019-10-09 09:00:00,2019-10-10 09:00:00,0,3,Omaha,DE,
rutrum@sed.co.uk,Animals Charity,Women,2019-01-07 11:00:00,2019-01-08 05:00:00,0,18,Norman,ID,
nisl.sem.consequat@euismodin.ca,Environment Charity,Arts and Crafts,2019-03-10 02:00:00,2019-03-10 23:00:00,0,11,Green Bay,VT,
nisl.Quisque.fringilla@Etiamimperdietdictum.org,Seniors Guest Speaker,Animals,2019-09-04 06:00:00,2019-09-04 14:00:00,0,24,Helena,AK,
posuere@disparturient.net,Disaster Relief Drive,Human Rights,2018-12-01 17:00:00,2018-12-01 22:00:00,0,19,Spokane,OH,
arcu@scelerisque.edu,Health Drive,Homeless,2020-01-18 17:00:00,2020-01-19 16:00:00,0,14,Lakewood,OR,
magna.Sed.eu@blandit.ca,Disaster Relief Drive,Seniors,2018-12-25 12:00:00,2018-12-25 22:00:00,0,6,Nashville,TX,
purus.sapien.gravida@ligulaAliquamerat.edu,Arts and Crafts Walk,Women,2020-03-12 01:00:00,2020-03-12 08:00:00,0,16,Bloomington,ME,
ultricies.sem@semper.ca,Animals Charity,International,2019-08-24 20:00:00,2019-08-25 13:00:00,0,9,Spokane,WY,
quis.arcu.vel@mus.com,Health Guest Speaker,Education,2019-05-24 13:00:00,2019-05-24 19:00:00,0,17,Orlando,KS,
elit.Etiam.laoreet@Maecenasmalesuadafringilla.co.uk,Animals Charity,Human Rights,2019-08-26 14:00:00,2019-08-27 08:00:00,0,4,Kapolei,KY,
penatibus.et.magnis@massaQuisqueporttitor.ca,LGBT Foundation,Environment,2019-02-26 19:00:00,2019-02-27 12:00:00,0,21,Seattle,AZ,
bibendum.Donec@Inmi.org,Disaster Relief Social Media Fundraising,Arts and Crafts,2019-02-18 10:00:00,2019-02-18 16:00:00,0,7,Meridian,IN,
Nunc.ut.erat@tellusid.co.uk,Women Charity Auction,Sports,2019-02-25 05:00:00,2019-02-25 15:00:00,0,11,Sioux City,MN,
sociis@Cumsociisnatoque.com,Environment Guest Speaker,Human Rights,2019-05-11 04:00:00,2019-05-11 17:00:00,0,14,Cedar Rapids,IL,
pellentesque@etnetus.ca,LGBT Foundation,Seniors,2019-12-03 08:00:00,2019-12-04 06:00:00,0,20,Pittsburgh,IA,
lobortis.risus.In@lacusQuisqueimperdiet.com,Faith-based Social Media Fundraising,Homeless,2019-07-10 08:00:00,2019-07-11 02:00:00,0,19,Jonesboro,CT,
sed.dictum.eleifend@Vivamus.net,International Foundation,Arts and Crafts,2020-02-15 05:00:00,2020-02-15 23:00:00,0,23,Philadelphia,OR,
Vestibulum.ante.ipsum@fringilla.net,Seniors Guest Speaker,Arts and Crafts,2019-10-18 18:00:00,2019-10-19 15:00:00,0,20,Detroit,NE,
nec.malesuada@arcuac.ca,LGBT Foundation,Technology,2019-03-12 10:00:00,2019-03-12 21:00:00,0,25,College,LA,
malesuada.ut@commodotincidunt.org,Homeless Foundation,Health,2020-01-06 11:00:00,2020-01-07 01:00:00,0,6,Olathe,KY,
sociis@Cumsociisnatoque.com,Youth Guest Speaker,Seniors,2018-03-15 07:00:00,2018-03-15 16:00:00,0,8,Georgia,KY,
tellus.Suspendisse@nisisemsemper.co.uk,International Drive,Human Rights,2018-11-06 06:00:00,2018-11-06 11:00:00,0,25,Phoenix,MS,
sit@penatibusetmagnis.com,Technology Drive,Disaster Relief,2019-01-03 04:00:00,2019-01-04 02:00:00,0,25,Oklahoma City,LA,
fringilla.Donec.feugiat@sem.co.uk,Technology Foundation,Faith-based,2018-06-05 23:00:00,2018-06-06 08:00:00,0,3,San Diego,GA,
id@vehicula.co.uk,Sports Charity,International,2018-10-16 20:00:00,2018-10-17 16:00:00,0,15,Augusta,AZ,
iaculis.enim@liberoProinsed.org,Hunger Walk,Environment,2019-03-10 10:00:00,2019-03-10 16:00:00,0,7,South Bend,VT,
tempus@Nullam.net,International Guest Speaker,Environment,2018-12-23 19:00:00,2018-12-24 02:00:00,0,5,Seattle,FL,
neque@erat.ca,Hunger Charity Auction,Disaster Relief,2019-04-14 10:00:00,2019-04-15 08:00:00,0,4,Pittsburgh,IA,
tempus.mauris.erat@Loremipsumdolor.net,Women Walk,International,2018-05-24 12:00:00,2018-05-25 12:00:00,0,18,Dover,OH,
mollis@ornare.net,Seniors Charity,Hunger,2018-08-19 07:00:00,2018-08-19 17:00:00,0,19,Memphis,MO,
pede.Cum.sociis@eget.co.uk,Women Guest Speaker,Sports,2019-03-14 09:00:00,2019-03-15 04:00:00,0,7,Tampa,WY,
diam.Sed.diam@interdumSed.com,Health Charity Auction,Youth,2019-04-05 20:00:00,2019-04-06 08:00:00,0,16,Springfield,MI,
orci.luctus.et@interdum.com,Politics Charity Auction,Homeless,2018-06-26 06:00:00,2018-06-26 23:00:00,0,8,Bellevue,VA,
aliquet.odio.Etiam@velitin.ca,Disaster Relief Foundation,Youth,2019-02-03 13:00:00,2019-02-03 21:00:00,0,17,Reno,WI,
Maecenas.libero@famesacturpis.com,Environment Foundation,Sports,2019-04-08 16:00:00,2019-04-09 08:00:00,0,4,Cleveland,AR,
nisi@enim.co.uk,Technology Guest Speaker,Homeless,2018-09-27 03:00:00,2018-09-27 16:00:00,0,12,Idaho Falls,AZ,
lectus.convallis@Quisqueornare.edu,Homeless Walk,Hunger,2019-10-22 10:00:00,2019-10-22 21:00:00,0,4,Dallas,DE,
risus.In@tinciduntduiaugue.co.uk,Technology Foundation,Arts and Crafts,2019-06-23 12:00:00,2019-06-24 00:00:00,0,5,Evansville,ME,
est.tempor.bibendum@lacusEtiam.net,Politics Foundation,Animals,2019-08-06 08:00:00,2019-08-06 10:00:00,0,4,Olathe,MI,
massa.Quisque.porttitor@nonduinec.edu,Animals Charity Auction,International,2019-07-16 09:00:00,2019-07-16 13:00:00,0,5,Fresno,AZ,
interdum.feugiat@ettristique.net,Politics Social Media Fundraising,Arts and Crafts,2018-05-18 08:00:00,2018-05-18 14:00:00,0,20,Orlando,KS,
dis.parturient@urnanec.org,Education Charity,Arts and Crafts,2018-09-08 05:00:00,2018-09-09 00:00:00,0,8,Aurora,VA,
enim@euligula.ca,Environment Foundation,Environment,2019-09-03 00:00:00,2019-09-03 14:00:00,0,6,Bellevue,LA,
Cum.sociis.natoque@Proinvelnisl.edu,International Charity,Disaster Relief,2019-06-03 00:00:00,2019-06-03 19:00:00,0,12,Warren,WY,
